2021-06-09_153657 CO2: 411.88ppm, temp: 26.62'C, rh: 77.89%
2021-06-09_154704 CO2: 419.75ppm, temp: 26.59'C, rh: 77.95%
2021-06-09_155711 CO2: 422.18ppm, temp: 26.59'C, rh: 77.84%
2021-06-09_160717 CO2: 415.02ppm, temp: 26.57'C, rh: 77.89%
2021-06-09_161724 CO2: 405.53ppm, temp: 26.52'C, rh: 77.85%
2021-06-09_162731 CO2: 401.63ppm, temp: 26.50'C, rh: 77.78%
2021-06-09_163737 CO2: 406.41ppm, temp: 26.47'C, rh: 77.72%
2021-06-09_164744 CO2: 414.63ppm, temp: 26.59'C, rh: 76.91%
2021-06-09_165751 CO2: 420.88ppm, temp: 26.60'C, rh: 76.50%
2021-06-09_170757 CO2: 440.54ppm, temp: 26.52'C, rh: 76.21%
2021-06-09_171804 CO2: 441.93ppm, temp: 26.49'C, rh: 77.43%
2021-06-09_172811 CO2: 438.78ppm, temp: 26.50'C, rh: 77.42%
2021-06-09_173817 CO2: 438.56ppm, temp: 26.53'C, rh: 77.40%
2021-06-09_174824 CO2: 431.27ppm, temp: 26.54'C, rh: 77.24%
2021-06-09_175831 CO2: 419.52ppm, temp: 26.57'C, rh: 77.08%
2021-06-09_180837 CO2: 412.69ppm, temp: 26.56'C, rh: 77.12%
2021-06-09_181844 CO2: 412.71ppm, temp: 26.57'C, rh: 77.01%
2021-06-09_182851 CO2: 412.01ppm, temp: 26.59'C, rh: 77.01%
2021-06-09_183857 CO2: 409.30ppm, temp: 26.54'C, rh: 76.95%
2021-06-09_184904 CO2: 413.70ppm, temp: 26.47'C, rh: 77.09%
2021-06-09_185911 CO2: 414.13ppm, temp: 26.47'C, rh: 77.15%
2021-06-09_190917 CO2: 413.45ppm, temp: 26.47'C, rh: 77.22%
2021-06-09_191924 CO2: 413.91ppm, temp: 26.49'C, rh: 77.15%
2021-06-09_192931 CO2: 412.24ppm, temp: 26.47'C, rh: 77.10%
2021-06-09_193937 CO2: 412.98ppm, temp: 26.43'C, rh: 77.07%
2021-06-09_194944 CO2: 405.60ppm, temp: 26.36'C, rh: 77.21%
2021-06-09_195951 CO2: 401.09ppm, temp: 26.38'C, rh: 77.12%
2021-06-09_200957 CO2: 404.58ppm, temp: 26.36'C, rh: 76.99%
2021-06-09_202004 CO2: 404.16ppm, temp: 26.38'C, rh: 76.92%
2021-06-09_203011 CO2: 406.01ppm, temp: 26.33'C, rh: 76.96%
2021-06-09_204017 CO2: 404.93ppm, temp: 26.31'C, rh: 76.92%
2021-06-09_205024 CO2: 408.71ppm, temp: 26.31'C, rh: 77.35%
2021-06-09_210024 CO2: 409.83ppm, temp: 26.31'C, rh: 77.39%
2021-06-09_211024 CO2: 404.69ppm, temp: 26.36'C, rh: 77.45%
2021-06-09_212024 CO2: 412.88ppm, temp: 26.39'C, rh: 77.39%
2021-06-09_213024 CO2: 404.38ppm, temp: 26.42'C, rh: 77.20%
2021-06-09_214024 CO2: 410.89ppm, temp: 26.46'C, rh: 77.22%
